date,revenue_per_user,number_of_sessions,number_of_signups,avg_order_value,is_weekend,seasonality_index,marketing_spend
2024-04-23,13.81,968,44,47.6,0,1.09,12.28
2024-04-24,13.82,1051,46,49.05,0,1.09,10.89
2024-04-25,14.15,970,30,50.72,0,1.09,10.35
2024-04-26,13.69,961,42,49.4,0,1.09,10.88
2024-04-27,16.47,1071,50,49.51,1,1.09,10.02
2024-04-28,16.61,1143,48,49.42,1,1.09,15.27
2024-04-29,13.64,1004,33,53.15,0,1.09,15.18
2024-04-30,13.84,911,45,46.96,0,1.09,10.15
2024-05-01,13.82,946,43,53.97,0,1.09,14.62
2024-05-02,13.57,1032,39,48.42,0,1.09,11.62
2024-05-03,14.06,1112,50,54.15,0,1.08,13.88
2024-05-04,15.76,1002,40,46.43,1,1.08,11.11
2024-05-05,16.31,1021,45,53.0,1,1.08,15.07
2024-05-06,13.74,945,42,45.42,0,1.08,14.02
2024-05-07,13.64,1055,47,54.27,0,1.08,16.5
2024-05-08,13.6,1135,34,54.7,0,1.08,15.58
2024-05-09,13.38,959,28,45.51,0,1.08,14.56
2024-05-10,13.65,965,47,53.03,0,1.08,12.75
2024-05-11,15.81,1016,45,46.5,1,1.08,16.53
2024-05-12,15.21,985,45,51.75,1,1.08,13.92
2024-05-13,13.48,1141,37,54.11,0,1.07,14.5
2024-05-14,13.45,982,35,54.07,0,1.07,11.66
2024-05-15,13.31,975,48,47.13,0,1.07,13.7
2024-05-16,13.03,1006,30,46.07,0,1.07,14.74
2024-05-17,13.3,987,43,51.53,0,1.07,12.91
2024-05-18,16.03,964,32,51.73,1,1.07,10.44
2024-05-19,16.04,1119,41,48.23,1,1.07,14.22
2024-05-20,14.5,991,48,54.87,0,1.07,16.37
2024-05-21,13.36,948,37,46.59,0,1.06,12.57
2024-05-22,13.64,1104,49,46.92,0,1.06,12.69
2024-05-23,13.68,1037,32,49.45,0,1.06,15.78
2024-05-24,13.22,1047,39,50.86,0,1.06,14.41
2024-05-25,15.32,1119,33,53.47,1,1.06,16.03
2024-05-26,14.78,966,45,54.4,1,1.06,11.5
2024-05-27,13.43,1040,46,45.19,0,1.06,14.19
2024-05-28,13.16,997,32,53.96,0,1.05,12.9
2024-05-29,13.03,1080,41,48.36,0,1.05,15.61
2024-05-30,13.25,954,30,46.12,0,1.05,13.37
2024-05-31,12.98,1072,44,48.26,0,1.05,12.94
2024-06-01,15.48,1032,49,53.95,1,1.05,13.25
2024-06-02,15.32,1104,54,48.34,1,1.05,13.5
2024-06-03,12.62,935,36,48.36,0,1.05,10.82
2024-06-04,13.12,1163,54,51.13,0,1.04,16.45
2024-06-05,13.92,1033,46,51.72,0,1.04,13.39
2024-06-06,13.1,1050,31,50.24,0,1.04,14.58
2024-06-07,13.12,948,31,54.87,0,1.04,10.62
2024-06-08,14.8,1005,34,54.6,1,1.04,11.72
2024-06-09,15.41,931,29,53.03,1,1.04,11.43
2024-06-10,13.6,972,34,52.72,0,1.03,10.64
2024-06-11,13.58,1059,38,46.48,0,1.03,16.3
2024-06-12,13.22,1063,40,45.91,0,1.03,12.34
2024-06-13,13.5,1077,52,54.69,0,1.03,11.9
2024-06-14,13.11,1007,40,45.78,0,1.03,10.95
2024-06-15,15.79,1072,35,53.06,1,1.03,15.82
2024-06-16,15.27,1029,40,45.48,1,1.02,11.7
2024-06-17,13.2,1070,43,46.79,0,1.02,11.45
2024-06-18,13.28,1043,37,49.18,0,1.02,10.16
2024-06-19,12.6,984,41,54.7,0,1.02,15.6
2024-06-20,12.87,927,33,49.24,0,1.02,11.55
2024-06-21,12.94,1109,39,46.38,0,1.02,13.83
2024-06-22,15.22,957,45,46.74,1,1.01,14.6
2024-06-23,14.92,911,34,51.63,1,1.01,10.66
2024-06-24,13.47,929,37,54.74,0,1.01,12.34
2024-06-25,13.06,989,41,45.62,0,1.01,16.09
2024-06-26,13.19,1083,45,53.74,0,1.01,12.47
2024-06-27,13.33,1063,44,50.26,0,1.01,13.5
2024-06-28,12.9,1044,47,46.72,0,1.0,15.44
