日期,明细摘要,打款单位,豪爵车款,配件款,广宣及装修款,转存,其他,累计,付工厂货款,广宣及装修品,公司费用,财务费用,转存、保证金、还敞口,其他,累计,余额
09/07/2025,付中山市安奇宝服装有限公司老挝用风衣款,,,,,,,"866,890.45",,,27250,,,,"13,171,839.73","980,061.97"
09/07/2025,货款收取,寻甸县倘甸镇嘉裕摩托车经销修理店,16300,,,,,"883,190.45",,,,,,,"13,171,839.73","996,361.97"
10/07/2025,货款收取,江城凯达摩托车销售商行,16160,,,,,"899,350.45",,,,,,,"13,171,839.73","1,012,521.97"
10/07/2025,货款收取,宁洱孟翔摩托车销售有限公司,69450,,,,,"968,800.45",,,,,,,"13,171,839.73","1,081,971.97"
10/07/2025,货款收取,普洱天艺商贸有限公司,404602,,,,,"1,373,402.45",,,,,,,"13,171,839.73","1,486,573.97"
10/07/2025,货款收取,芒市何氏摩托车销售有限责任公司,97835,,,,,"1,471,237.45",,,,,,,"13,171,839.73","1,584,408.97"
10/07/2025,货款收取,大理世通贸易有限公司,379300,,,,,"1,850,537.45",,,,,,,"13,171,839.73","1,963,708.97"
10/07/2025,货款收取,勐海勇腾车行,22346,,,,,"1,872,883.45",,,,,,,"13,171,839.73","1,986,054.97"
10/07/2025,货款收取,普洱云弘云商务贸易有限公司,299580,,,,,"2,172,463.45",,,,,,,"13,171,839.73","2,285,634.97"
10/07/2025,货款收取,富宁腾顺商贸有限责任公司,78200,,,,,"2,250,663.45",,,,,,,"13,171,839.73","2,363,834.97"
10/07/2025,货款收取,芒市约林摩托车销售有限责任公司,80000,,,,,"2,330,663.45",,,,,,,"13,171,839.73","2,443,834.97"
10/07/2025,货款收取,瑞丽市何氏摩托车经营部,19552,,,,,"2,350,215.45",,,,,,,"13,171,839.73","2,463,386.97"
10/07/2025,货款收取,威信县鑫茂摩托车销售店,104970,,,,,"2,455,185.45",,,,,,,"13,171,839.73","2,568,356.97"
10/07/2025,货款收取,澜沧广进商贸有限公司,242877,,,,,"2,698,062.45",,,,,,,"13,171,839.73","2,811,233.97"
10/07/2025,货款收取,云南极客商贸有限公司,32600,,,,,"2,730,662.45",,,,,,,"13,171,839.73","2,843,833.97"
10/07/2025,货款收取,巍山县爱车族摩托车销售有限公司,106660,,,,,"2,837,322.45",,,,,,,"13,171,839.73","2,950,493.97"
10/07/2025,货款收取,普洱云弘云商务贸易有限公司,700000,,,,,"3,537,322.45",,,,,,,"13,171,839.73","3,650,493.97"
10/07/2025,货款收取,丽江超越摩托车商贸有限公司,31940,,,,,"3,569,262.45",,,,,,,"13,171,839.73","3,682,433.97"
10/07/2025,货款收取,昭通市昭阳区万众商贸有限责任公司,246449,,,,,"3,815,711.45",,,,,,,"13,171,839.73","3,928,882.97"
10/07/2025,货款收取,开远新五豪经贸有限公司,164980,,,,,"3,980,691.45",,,,,,,"13,171,839.73","4,093,862.97"
10/07/2025,货款收取,华坪县中心镇金鑫摩托车行,62028,,,,,"4,042,719.45",,,,,,,"13,171,839.73","4,155,890.97"
10/07/2025,货款收取,龙陵县何氏摩托车销售有限责任公司,359599,,,,,"4,402,318.45",,,,,,,"13,171,839.73","4,515,489.97"
10/07/2025,货款收取,镇雄建君商贸有限公司,78120,,,,,"4,480,438.45",,,,,,,"13,171,839.73","4,593,609.97"
10/07/2025,货款收取,勐腊陈龙检测服务有限公司,40420,,,,,"4,520,858.45",,,,,,,"13,171,839.73","4,634,029.97"
10/07/2025,货款收取,临沧杰克商贸有限公司,60685,,,,,"4,581,543.45",,,,,,,"13,171,839.73","4,694,714.97"
10/07/2025,货款收取,祥云旭鑫机车销售有限公司,200000,,,,,"4,781,543.45",,,,,,,"13,171,839.73","4,894,714.97"
10/07/2025,货款收取,曲靖市麒麟区乐骑摩托车行,59152,,,,,"4,840,695.45",,,,,,,"13,171,839.73","4,953,866.97"
10/07/2025,货款收取,永平县永顺机动车销售有限公司,129970,,,,,"4,970,665.45",,,,,,,"13,171,839.73","5,083,836.97"
10/07/2025,货款收取,禄劝顺风摩托车经营部,25100,,,,,"4,995,765.45",,,,,,,"13,171,839.73","5,108,936.97"
10/07/2025,货款收取,楚雄腾绮意商贸有限公司,100000,,,,,"5,095,765.45",,,,,,,"13,171,839.73","5,208,936.97"
10/07/2025,货款收取,蒙自磊创商贸有限公司,63800,,,,,"5,159,565.45",,,,,,,"13,171,839.73","5,272,736.97"
10/07/2025,货款收取,临沧大发商贸有限公司,24260,,,,,"5,183,825.45",,,,,,,"13,171,839.73","5,296,996.97"
10/07/2025,货款收取,河口张氏兄弟商贸有限公司,50000,,,,,"5,233,825.45",,,,,,,"13,171,839.73","5,346,996.97"
10/07/2025,货款收取,屏边县诚远摩托车销售总汇,226846,,,,,"5,460,671.45",,,,,,,"13,171,839.73","5,573,842.97"
10/07/2025,货款收取,马关县兴贵车行,200000,,,,,"5,660,671.45",,,,,,,"13,171,839.73","5,773,842.97"
10/07/2025,货款收取,陆良县环亚商贸有限责任公司,33000,,,,,"5,693,671.45",,,,,,,"13,171,839.73","5,806,842.97"
10/07/2025,货款收取,麻栗坡县骑王摩托车销售有限公司,230000,,,,,"5,923,671.45",,,,,,,"13,171,839.73","6,036,842.97"
10/07/2025,货款收取,泸西家美机车有限公司,42334,,,,,"5,966,005.45",,,,,,,"13,171,839.73","6,079,176.97"
10/07/2025,货款收取,弥勒市隆兴车行,71760,,,,,"6,037,765.45",,,,,,,"13,171,839.73","6,150,936.97"
10/07/2025,货款收取,元谋县元马万达车行,84980,,,,,"6,122,745.45",,,,,,,"13,171,839.73","6,235,916.97"
10/07/2025,货款收取,双江昌隆商贸有限责任公司,100000,,,,,"6,222,745.45",,,,,,,"13,171,839.73","6,335,916.97"
10/07/2025,货款收取,鲁甸县兴涛商贸有限公司,130000,,,,,"6,352,745.45",,,,,,,"13,171,839.73","6,465,916.97"
10/07/2025,货款收取,昌宁易迅摩托车销售中心,100291,,,,,"6,453,036.45",,,,,,,"13,171,839.73","6,566,207.97"
10/07/2025,货款收取,永德县兴辉实业有限公司,80260.67,,,,,"6,533,297.12",,,,,,,"13,171,839.73","6,646,468.64"
10/07/2025,货款收取,勐腊星恒车业有限公司,126020,,,,,"6,659,317.12",,,,,,,"13,171,839.73","6,772,488.64"
10/07/2025,货款收取,罗平县豪爵销售有限公司,14700,,,,,"6,674,017.12",,,,,,,"13,171,839.73","6,787,188.64"
10/07/2025,现金转入,,,,,3000000,,"9,674,017.12",,,,,,,"13,171,839.73","9,787,188.64"
10/07/2025,货款收取,双江顺源摩托车销售有限责任公司,260000,,,,,"9,934,017.12",,,,,,,"13,171,839.73","10,047,188.64"
10/07/2025,货款收取,个旧市伟业摩托商行,87990,,,,,"10,022,007.12",,,,,,,"13,171,839.73","10,135,178.64"
10/07/2025,货款收取,双江顺源摩托车销售有限责任公司,90000,,,,,"10,112,007.12",,,,,,,"13,171,839.73","10,225,178.64"
10/07/2025,货款收取,武定县张琼华电动自行车销售经营部,20000,,,,,"10,132,007.12",,,,,,,"13,171,839.73","10,245,178.64"
10/07/2025,货款收取,永胜县涛源镇鹤才摩托销售点,11946,,,,,"10,143,953.12",,,,,,,"13,171,839.73","10,257,124.64"
10/07/2025,货款收取,泸西县小雄机车经营部,89449,,,,,"10,233,402.12",,,,,,,"13,171,839.73","10,346,573.64"
10/07/2025,付昆明恒鑫国际货运公司老挝配件运输费,,,,,,,"10,233,402.12",,,22050,,,,"13,193,889.73","10,324,523.64"
10/07/2025,货款收取,陇川县翰林摩托车销售经营部,52320,,,,,"10,285,722.12",,,,,,,"13,193,889.73","10,376,843.64"
10/07/2025,货款收取,大关徐师贸易有限公司,399527,,,,,"10,685,249.12",,,,,,,"13,193,889.73","10,776,370.64"
10/07/2025,货款收取,云南省蒙自市骑士摩托车商贸有限公司,172260,,,,,"10,857,509.12",,,,,,,"13,193,889.73","10,948,630.64"
10/07/2025,货款收取,凤庆县洪运车行,167666,,,,,"11,025,175.12",,,,,,,"13,193,889.73","11,116,296.64"
10/07/2025,货款收取,澄江云达鑫车行,60000,,,,,"11,085,175.12",,,,,,,"13,193,889.73","11,176,296.64"
10/07/2025,货款收取,腾冲市源鑫机动车经贸有限责任公司,200000,,,,,"11,285,175.12",,,,,,,"13,193,889.73","11,376,296.64"
10/07/2025,货款收取,昭通市昭阳区隆盛商贸有限责任公司,160000,,,,,"11,445,175.12",,,,,,,"13,193,889.73","11,536,296.64"
10/07/2025,货款收取,弥渡昌合摩托车行,74663,,,,,"11,519,838.12",,,,,,,"13,193,889.73","11,610,959.64"
10/07/2025,货款收取,双江顺源摩托车销售有限责任公司,125000,,,,,"11,644,838.12",,,,,,,"13,193,889.73","11,735,959.64"
10/07/2025,货款收取,红塔区红清车行,156860,,,,,"11,801,698.12",,,,,,,"13,193,889.73","11,892,819.64"
10/07/2025,货款收取,彝良畅安商贸有限公司,387100,,,,,"12,188,798.12",,,,,,,"13,193,889.73","12,279,919.64"
10/07/2025,货款收取,砚山县锦鸿摩托车销售中心,36170,,,,,"12,224,968.12",,,,,,,"13,193,889.73","12,316,089.64"
10/07/2025,货款收取,新平县阳铭摩托车行,190000,,,,,"12,414,968.12",,,,,,,"13,193,889.73","12,506,089.64"
10/07/2025,货款收取,丘北小开商贸有限公司,26000,,,,,"12,440,968.12",,,,,,,"13,193,889.73","12,532,089.64"
10/07/2025,货款收取,文山豪诚商贸有限公司,53070,,,,,"12,494,038.12",,,,,,,"13,193,889.73","12,585,159.64"
10/07/2025,货款收取,广南县顺旺商贸有限公司,100000,,,,,"12,594,038.12",,,,,,,"13,193,889.73","12,685,159.64"
10/07/2025,货款收取,陇川县谷和摩托车销售有限公司,35360,,,,,"12,629,398.12",,,,,,,"13,193,889.73","12,720,519.64"
10/07/2025,货款收取,兰坪云辉车行,53380,,,,,"12,682,778.12",,,,,,,"13,193,889.73","12,773,899.64"
10/07/2025,货款收取,富民震庭商贸有限公司,13000,,,,,"12,695,778.12",,,,,,,"13,193,889.73","12,786,899.64"
10/07/2025,货款收取,云南烨扬商贸有限公司,39930,,,,,"12,735,708.12",,,,,,,"13,193,889.73","12,826,829.64"
11/07/2025,利息收入,,,,,,16250,"12,751,958.12",,,,,,,"13,193,889.73","12,843,079.64"
11/07/2025,利息收入,,,,,,8125,"12,760,083.12",,,,,,,"13,193,889.73","12,851,204.64"
11/07/2025,货款收取,永善县顺风商贸有限公司,380000,,,,,"13,140,083.12",,,,,,,"13,193,889.73","13,231,204.64"
11/07/2025,现金转入,,,,,3000000,,"16,140,083.12",,,,,,,"13,193,889.73","16,231,204.64"
11/07/2025,付常州豪爵成车款,,,,,,,"16,140,083.12",5000000,,,,,,"18,193,889.73","11,231,204.64"
11/07/2025,转保证金办承兑,,,,,,,"16,140,083.12",,,,,10000000,,"28,193,889.73","1,231,204.64"
11/07/2025,货款收取,昆明东川钵满亿贸易有限责任公司,30000,,,,,"16,170,083.12",,,,,,,"28,193,889.73","1,261,204.64"
11/07/2025,付中国石油天然气北辰充油卡费,,,,,,,"16,170,083.12",,,3000,,,,"28,196,889.73","1,258,204.64"
11/07/2025,银承手续费,,,,,,,"16,170,083.12",,,,3000,,,"28,199,889.73","1,255,204.64"
12/07/2025,货款收取,宜良县长峰贸易有限公司,205375,,,,,"16,375,458.12",,,,,,,"28,199,889.73","1,460,579.64"
14/07/2025,货款收取,昆明星途启航商贸有限公司,200000,,,,,"16,575,458.12",,,,,,,"28,199,889.73","1,660,579.64"
14/07/2025,货款收取,景洪益顺祥车行店(个人独资),24720,,,,,"16,600,178.12",,,,,,,"28,199,889.73","1,685,299.64"
14/07/2025,付中国平安财产保险股份有限公司云A0969W保险费,,,,,,,"16,600,178.12",,,2449.43,,,,"28,202,339.16","1,682,850.21"
14/07/2025,付云南易速达物流有限公司6月团购配件快递费,,,,,,,"16,600,178.12",,,23692,,,,"28,226,031.16","1,659,158.21"
14/07/2025,付云南易速达物流有限公司6月配件快递费,,,,,,,"16,600,178.12",,,16974,,,,"28,243,005.16","1,642,184.21"
14/07/2025,货款收取,保山鑫都商贸有限公司,400000,,,,,"17,000,178.12",,,,,,,"28,243,005.16","2,042,184.21"
14/07/2025,通信费-电信,,,,,,,"17,000,178.12",,,155,,,,"28,243,160.16","2,042,029.21"
15/07/2025,转存工行宜良支行,,,,,,,"17,000,178.12",,,,,16000,,"28,259,160.16","2,026,029.21"
15/07/2025,发放6月份工资,,,,,,,"17,000,178.12",,,552132.33,14,,,"28,811,306.49","1,473,882.88"
16/07/2025,付重庆竣南物流有限公司老挝摩托车运费,,,,,,,"17,000,178.12",,,40730,,,,"28,852,036.49","1,433,152.88"
16/07/2025,付昆明游家国际旅行社有限公司日本行旅游定金,,,,,,,"17,000,178.12",,,15000,,,,"28,867,036.49","1,418,152.88"
16/07/2025,货款收取,云南极客商贸有限公司,46310,,,,,"17,046,488.12",,,,,,,"28,867,036.49","1,464,462.88"
16/07/2025,付中国电信股份有限公司4月-6月专线宽带费,,,,,,,"17,046,488.12",,,8103,,,,"28,875,139.49","1,456,359.88"
16/07/2025,货款收取,昆明悦乐贸易有限公司,65000,,,,,"17,111,488.12",,,,,,,"28,875,139.49","1,521,359.88"
16/07/2025,货款收取,昆明悦广贸易有限公司,57000,,,,,"17,168,488.12",,,,,,,"28,875,139.49","1,578,359.88"
16/07/2025,货款收取,昆明悦众豪贸易有限公司,29000,,,,,"17,197,488.12",,,,,,,"28,875,139.49","1,607,359.88"
16/07/2025,货款收取,昆明悦酷贸易有限公司,28000,,,,,"17,225,488.12",,,,,,,"28,875,139.49","1,635,359.88"
17/07/2025,付云南绘驰广告有限公司6月促销广告物料费,,,,,,,"17,225,488.12",,,19636,,,,"28,894,775.49","1,615,723.88"
17/07/2025,付云南绘驰广告有限公司PVC物料费,,,,,,,"17,225,488.12",,,867,,,,"28,895,642.49","1,614,856.88"
17/07/2025,付云南绘驰广告有限公司货架标签费,,,,,,,"17,225,488.12",,,315,,,,"28,895,957.49","1,614,541.88"
17/07/2025,付云南绘驰广告有限公司骑行活动物料费,,,,,,,"17,225,488.12",,,8109,,,,"28,904,066.49","1,606,432.88"
17/07/2025,付云南绘驰广告有限公司石林会议物料费,,,,,,,"17,225,488.12",,,2888,,,,"28,906,954.49","1,603,544.88"
17/07/2025,付云南绘驰广告有限公司名片费（老挝用）,,,,,,,"17,225,488.12",,,120,,,,"28,907,074.49","1,603,424.88"
17/07/2025,付官渡区绘森空间设计工作室广告物料费（勐海勐混）,,,,,,,"17,225,488.12",,26018,,,,,"28,933,092.49","1,577,406.88"
17/07/2025,付官渡区绘森空间设计工作室广告物料费（马关兴贵）,,,,,,,"17,225,488.12",,42816,,,,,"28,975,908.49","1,534,590.88"
17/07/2025,付云南五捌商贸有限公司广告物料费（屏边诚远）,,,,,,,"17,225,488.12",,17385,,,,,"28,993,293.49","1,517,205.88"
17/07/2025,付云南五捌商贸有限公司广告物料费（峨山慧诚）,,,,,,,"17,225,488.12",,25061,,,,,"29,018,354.49","1,492,144.88"
17/07/2025,付云南五捌商贸有限公司广告物料费（保山鑫都二店）,,,,,,,"17,225,488.12",,20377,,,,,"29,038,731.49","1,471,767.88"
17/07/2025,付中国石油付斌充油卡费,,,,,,,"17,225,488.12",,,10000,,,,"29,048,731.49","1,461,767.88"
17/07/2025,货款收取,河口县桥头乡泉佳摩托车行,23520,,,,,"17,249,008.12",,,,,,,"29,048,731.49","1,485,287.88"
17/07/2025,货款收取,昆明豪驰贸易有限公司,100000,,,,,"17,349,008.12",,,,,,,"29,048,731.49","1,585,287.88"
18/07/2025,付江门豪爵配件款,,,,,,,"17,349,008.12",1000000,,,,,,"30,048,731.49","585,287.88"
18/07/2025,付昆明士菱达电梯电器工程有限公司电梯维保费,,,,,,,"17,349,008.12",,,5000,,,,"30,053,731.49","580,287.88"
18/07/2025,货款收取,丽江超越摩托车商贸有限公司,33230,,,,,"17,382,238.12",,,,,,,"30,053,731.49","613,517.88"
18/07/2025,货款收取,大理世通贸易有限公司,442998,,,,,"17,825,236.12",,,,,,,"30,053,731.49","1,056,515.88"
18/07/2025,货款收取,江城凯达摩托车销售商行,162410,,,,,"17,987,646.12",,,,,,,"30,053,731.49","1,218,925.88"
18/07/2025,货款收取,普洱天艺商贸有限公司,107140,,,,,"18,094,786.12",,,,,,,"30,053,731.49","1,326,065.88"
19/07/2025,货款收取,普洱云弘云商务贸易有限公司,75830,,,,,"18,170,616.12",,,,,,,"30,053,731.49","1,401,895.88"
19/07/2025,货款收取,景东彝族自治县周进经贸有限公司,150000,,,,,"18,320,616.12",,,,,,,"30,053,731.49","1,551,895.88"
19/07/2025,货款收取,澜沧广进商贸有限公司,328090,,,,,"18,648,706.12",,,,,,,"30,053,731.49","1,879,985.88"
19/07/2025,货款收取,永平县永顺机动车销售有限公司,116183,,,,,"18,764,889.12",,,,,,,"30,053,731.49","1,996,168.88"
19/07/2025,货款收取,蒙自磊创商贸有限公司,90573,,,,,"18,855,462.12",,,,,,,"30,053,731.49","2,086,741.88"
19/07/2025,货款收取,河口县桥头乡泉佳摩托车行,13810,,,,,"18,869,272.12",,,,,,,"30,053,731.49","2,100,551.88"
19/07/2025,货款收取,澜沧上允远程摩托车行,187631,,,,,"19,056,903.12",,,,,,,"30,053,731.49","2,288,182.88"
19/07/2025,货款收取,富宁县夏亮摩托车销售店,22261,,,,,"19,079,164.12",,,,,,,"30,053,731.49","2,310,443.88"
19/07/2025,货款收取,陆良县环亚商贸有限责任公司,110000,,,,,"19,189,164.12",,,,,,,"30,053,731.49","2,420,443.88"
19/07/2025,货款收取,罗平县豪爵销售有限公司,24800,,,,,"19,213,964.12",,,,,,,"30,053,731.49","2,445,243.88"
19/07/2025,货款收取,临沧大发商贸有限公司,151770,,,,,"19,365,734.12",,,,,,,"30,053,731.49","2,597,013.88"
19/07/2025,货款收取,陆良县环亚商贸有限责任公司,36000,,,,,"19,401,734.12",,,,,,,"30,053,731.49","2,633,013.88"
19/07/2025,货款收取,昭通市昭阳区万众商贸有限责任公司,255997,,,,,"19,657,731.12",,,,,,,"30,053,731.49","2,889,010.88"
19/07/2025,货款收取,禄劝顺风摩托车经营部,46949.5,,,,,"19,704,680.62",,,,,,,"30,053,731.49","2,935,960.38"
19/07/2025,货款收取,芒市约林摩托车销售有限责任公司,93650,,,,,"19,798,330.62",,,,,,,"30,053,731.49","3,029,610.38"
19/07/2025,货款收取,耿马宏运车行,16210,,,,,"19,814,540.62",,,,,,,"30,053,731.49","3,045,820.38"
19/07/2025,货款收取,保山鑫都商贸有限公司,170000,,,,,"19,984,540.62",,,,,,,"30,053,731.49","3,215,820.38"
19/07/2025,货款收取,富宁腾顺商贸有限责任公司,160447,,,,,"20,144,987.62",,,,,,,"30,053,731.49","3,376,267.38"
19/07/2025,货款收取,泸西家美机车有限公司,80800,,,,,"20,225,787.62",,,,,,,"30,053,731.49","3,457,067.38"
19/07/2025,货款收取,双江昌隆商贸有限责任公司,70000,,,,,"20,295,787.62",,,,,,,"30,053,731.49","3,527,067.38"
19/07/2025,货款收取,永胜县涛源镇鹤才摩托销售点,33860,,,,,"20,329,647.62",,,,,,,"30,053,731.49","3,560,927.38"
19/07/2025,货款收取,云县雄辉摩托车销售有限公司,210000,,,,,"20,539,647.62",,,,,,,"30,053,731.49","3,770,927.38"
19/07/2025,货款收取,开远新五豪经贸有限公司,32970,,,,,"20,572,617.62",,,,,,,"30,053,731.49","3,803,897.38"
19/07/2025,货款收取,弥勒市隆兴车行,168280,,,,,"20,740,897.62",,,,,,,"30,053,731.49","3,972,177.38"
19/07/2025,货款收取,云南省蒙自市骑士摩托车商贸有限公司,217887,,,,,"20,958,784.62",,,,,,,"30,053,731.49","4,190,064.38"
19/07/2025,货款收取,芒市何氏摩托车销售有限责任公司,27200,,,,,"20,985,984.62",,,,,,,"30,053,731.49","4,217,264.38"
19/07/2025,货款收取,个旧市伟业摩托商行,50000,,,,,"21,035,984.62",,,,,,,"30,053,731.49","4,267,264.38"
19/07/2025,货款收取,临沧杰克商贸有限公司,17640,,,,,"21,053,624.62",,,,,,,"30,053,731.49","4,284,904.38"
19/07/2025,货款收取,建水永坤摩托车销售有限责任公司,141920,,,,,"21,195,544.62",,,,,,,"30,053,731.49","4,426,824.38"
19/07/2025,货款收取,屏边县诚远摩托车销售总汇,59930,,,,,"21,255,474.62",,,,,,,"30,053,731.49","4,486,754.38"
20/07/2025,货款收取,富宁县夏亮摩托车销售店,17650,,,,,"21,273,124.62",,,,,,,"30,053,731.49","4,504,404.38"
20/07/2025,货款收取,华坪县中心镇金鑫摩托车行,90842,,,,,"21,363,966.62",,,,,,,"30,053,731.49","4,595,246.38"
20/07/2025,货款收取,盐津云和摩托车销售有限公司,80484,,,,,"21,444,450.62",,,,,,,"30,053,731.49","4,675,730.38"
20/07/2025,货款收取,镇沅金盛摩托车销售有限公司,168301,,,,,"21,612,751.62",,,,,,,"30,053,731.49","4,844,031.38"
20/07/2025,货款收取,东川区钵满摩托车经营部,60000,,,,,"21,672,751.62",,,,,,,"30,053,731.49","4,904,031.38"
20/07/2025,货款收取,龙陵县何氏摩托车销售有限责任公司,32600,,,,,"21,705,351.62",,,,,,,"30,053,731.49","4,936,631.38"
20/07/2025,货款收取,弥渡昌合摩托车行,93368,,,,,"21,798,719.62",,,,,,,"30,053,731.49","5,029,999.38"
20/07/2025,货款收取,红塔区红清车行,21820,,,,,"21,820,539.62",,,,,,,"30,053,731.49","5,051,819.38"
20/07/2025,货款收取,凤庆县洪运车行,335019,,,,,"22,155,558.62",,,,,,,"30,053,731.49","5,386,838.38"
20/07/2025,货款收取,曲靖市麒麟区乐骑摩托车行,106982,,,,,"22,262,540.62",,,,,,,"30,053,731.49","5,493,820.38"
20/07/2025,货款收取,永善县顺风商贸有限公司,303474,,,,,"22,566,014.62",,,,,,,"30,053,731.49","5,797,294.38"
20/07/2025,货款收取,普洱天艺商贸有限公司,123480,,,,,"22,689,494.62",,,,,,,"30,053,731.49","5,920,774.38"
20/07/2025,货款收取,昌宁易迅摩托车销售中心,30182,,,,,"22,719,676.62",,,,,,,"30,053,731.49","5,950,956.38"
20/07/2025,货款收取,寻甸县倘甸镇嘉裕摩托车经销修理店,11090,,,,,"22,730,766.62",,,,,,,"30,053,731.49","5,962,046.38"
20/07/2025,货款收取,施甸县姚关镇世纪风摩托车行,157480,,,,,"22,888,246.62",,,,,,,"30,053,731.49","6,119,526.38"
20/07/2025,货款收取,景洪益顺祥车行店(个人独资),69200,,,,,"22,957,446.62",,,,,,,"30,053,731.49","6,188,726.38"
20/07/2025,货款收取,双柏县易兴摩托车销售有限公司,40355,,,,,"22,997,801.62",,,,,,,"30,053,731.49","6,229,081.38"
20/07/2025,货款收取,景洪景庆摩托车行,37780,,,,,"23,035,581.62",,,,,,,"30,053,731.49","6,266,861.38"
20/07/2025,货款收取,腾冲市源鑫机动车经贸有限责任公司,200000,,,,,"23,235,581.62",,,,,,,"30,053,731.49","6,466,861.38"
20/07/2025,货款收取,鲁甸县兴涛商贸有限公司,100000,,,,,"23,335,581.62",,,,,,,"30,053,731.49","6,566,861.38"
20/07/2025,货款收取,元谋县元马万达车行,41145,,,,,"23,376,726.62",,,,,,,"30,053,731.49","6,608,006.38"
20/07/2025,货款收取,威信县鑫茂摩托车销售店,150591,,,,,"23,527,317.62",,,,,,,"30,053,731.49","6,758,597.38"
20/07/2025,货款收取,镇雄建君商贸有限公司,128852,,,,,"23,656,169.62",,,,,,,"30,053,731.49","6,887,449.38"
20/07/2025,货款收取,瑞丽市何氏摩托车经营部,174619,,,,,"23,830,788.62",,,,,,,"30,053,731.49","7,062,068.38"
20/07/2025,货款收取,马关县兴贵车行,200000,,,,,"24,030,788.62",,,,,,,"30,053,731.49","7,262,068.38"
20/07/2025,货款收取,澜沧上允小铭佳摩托车车行,138000,,,,,"24,168,788.62",,,,,,,"30,053,731.49","7,400,068.38"
